,Setor,Código,Ação,Tipo,Qtde. Teórica,Part. (%),Part. (%)Acum.
0,Bens Indls / Máqs e Equips,WEGE3,WEG,ON      NM,1260665218,"2,821","2,821"
1,Bens Indls / Mat Transporte,EMBR3,EMBRAER,ON      NM,734632205,"0,776","0,776"
2,Bens Indls/Transporte,AZUL4,AZUL,PN      N2,327646296,"0,194","2,313"
3,Bens Indls/Transporte,CCRO3,CCR SA,ON  ED  NM,998462635,"0,737","2,313"
4,Bens Indls/Transporte,GOLL4,GOL,PN      N2,218221868,"0,079","2,313"
5,Bens Indls/Transporte,RAIL3,RUMO S.A.,ON  ED  NM,1215642613,"1,303","2,313"
6,Cons N  Básico / Alimentos Processados,BRFS3,BRF SA,ON      NM,1076512610,"0,371","1,947"
7,Cons N  Básico / Alimentos Processados,JBSS3,JBS,ON      NM,1134986483,"1,106","1,947"
8,Cons N  Básico / Alimentos Processados,MRFG3,MARFRIG,ON      NM,292587273,"0,104","1,947"
9,Cons N  Básico / Alimentos Processados,BEEF3,MINERVA,ON  ED  NM,260340982,"0,121","1,947"
10,Cons N  Básico / Alimentos Processados,SMTO3,SAO MARTINHO,ON      NM,143294210,"0,245","1,947"
11,Cons N Cíclico / Bebidas,ABEV3,AMBEV S/A,ON,4386652506,"3,380","3,380"
12,Cons N Cíclico / Comércio Distr.,ASAI3,ASSAI,ON  ED  NM,1190824431,"0,796","1,234"
13,Cons N Cíclico / Comércio Distr.,CRFB3,CARREFOUR BR,ON      NM,528743156,"0,309","1,234"
14,Cons N Cíclico / Comércio Distr.,PCAR3,P.ACUCAR-CBD,ON      NM,157889627,"0,129","1,234"
15,Cons N Cíclico / Pr Pessoal Limp,NTCO3,GRUPO NATURA,ON      NM,838904847,"0,505","0,505"
16,Cons N Ciclico/Agropecuária,RAIZ4,RAIZEN,PN      N2,1200488532,"0,208","0,436"
17,Cons N Ciclico/Agropecuária,SLCE3,SLC AGRICOLA,ON      NM,96272020,"0,228","0,436"
18,Consumo Cíclico / Comércio,ARZZ3,AREZZO CO,ON      NM,60758326,"0,220","2,055"
19,Consumo Cíclico / Comércio,SOMA3,GRUPO SOMA,ON  ED  NM,490736222,"0,222","2,055"
20,Consumo Cíclico / Comércio,LREN3,LOJAS RENNER,ON      NM,950702967,"0,820","2,055"
21,Consumo Cíclico / Comércio,MGLU3,MAGAZ LUIZA,ON      NM,2874188573,"0,522","2,055"
22,Consumo Cíclico / Comércio,PETZ3,PETZ,ON  ED  NM,335865260,"0,113","2,055"
23,Consumo Cíclico / Comércio,VIIA3,VIA,ON      NM,1576975642,"0,158","2,055"
24,Consumo Cíclico / Tecid Vest Calç,ALPA4,ALPARGATAS,PN      N1,202765994,"0,082","0,082"
25,Consumo Cíclico/Constr Civil,CYRE3,CYRELA REALT,ON      NM,274142301,"0,231","0,426"
26,Consumo Cíclico/Constr Civil,EZTC3,EZTEC,ON      NM,94318339,"0,075","0,426"
27,Consumo Cíclico/Constr Civil,MRVE3,MRV,ON      NM,305322465,"0,120","0,426"
28,Consumo Cíclico/Viagens e Lazer,CVCB3,CVC BRASIL,ON      NM,275967676,"0,041","0,041"
29,Diversos,COGN3,COGNA ON,ON      NM,1815524541,"0,202","2,775"
30,Diversos,RENT3,LOCALIZA,ON      NM,773535098,"2,442","2,775"
31,Diversos,YDUQ3,YDUQS PART,ON      NM,296015511,"0,131","2,775"
